Usual residence,Far North District,Whangarei District,Kaipara District,Auckland,Thames-Coromandel District,Hauraki District,Waikato District,Matamata-Piako District,Hamilton City,Waipa District,Otorohanga District,South Waikato District,Waitomo District,Taupo District,Western Bay of Plenty District,Tauranga City,Rotorua District,Whakatane District,Kawerau District,Opotiki District,Gisborne District,Wairoa District,Hastings District,Napier City,Central Hawke's Bay District,New Plymouth District,Stratford District,South Taranaki District,Ruapehu District,Wanganui District,Rangitikei District,Manawatu District,Palmerston North City,Tararua District,Horowhenua District,Kapiti Coast District,Porirua City,Upper Hutt City,Lower Hutt City,Wellington City,Masterton District,Carterton District,South Wairarapa District,Tasman District,Nelson City,Marlborough District,Kaikoura District,Buller District,Grey District,Westland District,Hurunui District,Waimakariri District,Christchurch City,Selwyn District,Ashburton District,Timaru District,Mackenzie District,Waimate District,Chatham Islands Territory,Waitaki District,Central Otago District,Queenstown-Lakes District,Dunedin City,Clutha District,Southland District,Gore District,Invercargill City,Northland Region Not Further Defined,Auckland Region Not Further Defined,Waikato Region Not Further Defined,Bay of Plenty Region Not Further Defined,Gisborne Region Not Further Defined,Hawke's Bay Region Not Further Defined,Taranaki Region Not Further Defined,Manawatu-Wanganui Region Not Further Defined,Wellington Region Not Further Defined,West Coast Region Not Further Defined,Canterbury Region Not Further Defined,Otago Region Not Further Defined,Southland Region Not Further Defined,Tasman Region Not Further Defined,Nelson Region Not Further Defined,Marlborough Region Not Further Defined,No Fixed Workplace Address,New Zealand Not Further Defined,Area Outside Territorial Authority,Total workplace address
Far North District,17058,480,42,276,9,..C,6,6,9,..C,..C,..C,..C,..C,9,9,12,9,..C,..C,9,..C,9,..C,9,12,..C,6,..C,..C,..C,..C,6,..C,..C,..C,..C,6,..C,45,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,12,21,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,147,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,87,2487,..C,20901
Whangarei District,384,27492,333,507,9,..C,15,9,24,..C,..C,..C,..C,12,..C,21,18,9,..C,..C,12,..C,..C,..C,9,12,..C,..C,9,15,..C,..C,..C,6,..C,..C,..C,..C,..C,54,..C,..C,9,9,..C,6,..C,..C,..C,..C,..C,..C,30,..C,6,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,198,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,150,2859,..C,32328
Kaipara District,63,444,6024,561,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,60,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,36,804,..C,8121
Auckland,1035,1128,354,577584,159,120,1176,117,810,159,30,48,30,171,135,363,261,75,24,27,132,15,198,138,33,243,15,60,81,108,18,30,210,45,192,90,105,48,189,1308,39,18,33,27,36,69,..C,15,..C,..C,9,12,453,39,9,21,..C,..C,..C,24,30,57,87,6,33,..C,21,9,3651,57,9,..C,..C,6,..C,18,..C,12,..C,..C,..C,..C,..C,2607,56082,24,650613
Thames-Coromandel District,18,12,6,432,8661,288,51,60,171,15,..C,9,..C,12,24,48,15,6,..C,39,9,..C,..C,..C,6,6,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,102,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,90,1248,..C,11475
Hauraki District,21,12,6,315,747,4590,78,243,117,15,..C,6,..C,9,165,48,15,..C,..C,..C,..C,..C,6,..C,36,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,15,..C,..C,24,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,66,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,42,831,..C,7506
Waikato District,60,57,15,4803,51,54,11937,285,7878,585,30,33,21,33,15,66,33,9,..C,..C,18,..C,15,..C,..C,9,..C,..C,9,..C,..C,..C,6,..C,6,9,..C,..C,..C,45,..C,..C,..C,33,6,15,..C,..C,..C,..C,6,51,42,6,..C,..C,..C,..C,..C,..C,96,..C,9,..C,18,..C,..C,..C,27,153,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,120,2904,..C,29664
Matamata-Piako District,21,27,12,210,39,129,186,11130,1110,213,6,141,..C,15,24,93,39,9,..C,..C,21,..C,..C,..C,6,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,21,..C,..C,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,132,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,63,1407,..C,15204
Hamilton City,102,162,18,1521,54,72,2325,726,50085,1890,126,93,57,90,33,147,105,24,9,6,27,..C,42,15,9,51,6,6,33,6,6,..C,30,12,..C,12,15,6,15,129,..C,..C,..C,39,6,21,..C,..C,..C,..C,9,15,84,21,..C,9,..C,..C,..C,9,483,18,18,..C,18,..C,9,..C,12,315,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,222,5151,..C,64605
Waipa District,42,54,9,411,24,18,516,294,5496,12690,525,153,120,33,12,51,54,6,..C,..C,9,..C,18,6,..C,39,..C,9,12,..C,..C,..C,9,..C,..C,6,..C,..C,..C,39,..C,..C,..C,27,..C,9,..C,..C,..C,..C,..C,6,39,15,6,..C,..C,..C,..C,..C,78,..C,6,..C,9,6,..C,..C,..C,195,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,111,1899,..C,23139
Otorohanga District,..C,9,..C,54,9,..C,30,6,249,330,2832,9,309,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,432,..C,4410
South Waikato District,15,12,..C,96,9,..C,42,270,207,153,15,6378,15,117,18,45,177,6,12,6,..C,..C,9,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,78,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,45,1005,..C,8850
Waitomo District,18,..C,..C,60,..C,..C,9,..C,75,45,177,..C,3222,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,33,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,24,480,..C,4278
Taupo District,51,27,..C,267,12,..C,21,6,102,18,9,174,30,12294,24,60,342,12,6,..C,18,..C,18,9,6,12,..C,..C,57,6,..C,..C,18,..C,..C,..C,..C,..C,18,39,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,6,..C,9,..C,..C,51,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,105,1731,..C,15699
Western Bay of Plenty District,21,9,..C,225,33,495,27,75,75,27,..C,42,..C,33,10635,5607,288,147,36,15,9,..C,15,12,..C,6,..C,..C,6,..C,..C,..C,12,..C,..C,6,..C,..C,6,27,..C,..C,..C,21,..C,9,..C,..C,..C,..C,..C,6,21,..C,..C,15,45,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,18,171,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,96,1962,..C,20337
Tauranga City,33,42,..C,492,42,51,42,177,213,57,12,108,9,81,2433,40731,486,357,54,12,21,..C,12,18,..C,21,..C,..C,15,..C,..C,..C,18,..C,..C,9,..C,..C,9,69,..C,..C,..C,21,..C,21,..C,6,..C,..C,..C,12,57,6,..C,6,24,24,..C,..C,6,9,9,..C,..C,..C,..C,..C,6,12,372,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,240,4347,..C,50901
Rotorua District,24,30,..C,204,12,6,9,21,84,15,12,240,..C,297,111,318,23544,132,132,12,15,..C,12,12,..C,9,..C,..C,18,9,..C,..C,12,..C,..C,..C,..C,..C,..C,27,..C,..C,..C,135,..C,..C,..C,..C,..C,..C,..C,..C,21,6,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,9,105,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,111,2550,..C,28356
Whakatane District,18,30,..C,78,9,..C,6,9,27,..C,..C,6,..C,42,90,159,255,10131,900,228,12,9,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,93,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,51,1287,..C,13590
Kawerau District,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,6,27,48,330,1056,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,204,..C,1767
Opotiki District,..C,..C,..C,24,..C,..C,..C,..C,6,..C,..C,..C,..C,6,15,18,15,189,15,2430,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,366,..C,3174
Gisborne District,..C,12,..C,81,..C,..C,9,..C,9,..C,..C,..C,..C,..C,15,9,21,9,..C,12,15720,30,27,15,9,6,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,183,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,60,1776,..C,18156
Wairoa District,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,60,2586,27,33,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,27,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,363,..C,3180
Hastings District,..C,..C,..C,90,..C,..C,12,..C,18,..C,..C,..C,..C,15,..C,12,12,..C,..C,..C,18,30,24483,4095,267,15,..C,6,9,6,..C,9,24,18,..C,6,12,9,9,69,..C,..C,..C,..C,9,6,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,309,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,129,3330,..C,33126
Napier City,..C,6,..C,93,..C,..C,..C,..C,18,..C,..C,6,..C,33,6,15,..C,..C,..C,..C,12,51,6000,16629,96,15,..C,..C,9,..C,..C,..C,18,15,..C,..C,..C,6,9,51,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,246,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,105,2328,9,25902
Central Hawke's Bay District,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,27,630,159,4656,..C,..C,..C,..C,..C,..C,6,15,48,..C,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,63,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,21,627,..C,6342
New Plymouth District,..C,6,..C,105,..C,..C,9,..C,18,..C,..C,..C,12,18,..C,6,6,..C,..C,..C,..C,..C,..C,12,..C,30648,435,840,..C,15,..C,..C,30,..C,..C,..C,..C,..C,6,57,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,207,..C,..C,..C,..C,..C,..C,..C,..C,..C,105,3135,15,35811
Stratford District,..C,..C,..C,9,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,522,2583,777,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,36,..C,..C,..C,..C,..C,..C,..C,..C,..C,12,408,..C,4383
South Taranaki District,..C,..C,..C,27,..C,..C,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,492,225,10230,..C,111,..C,6,6,39,..C,..C,..C,..C,..C,15,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,66,..C,..C,..C,..C,..C,..C,..C,..C,..C,36,1176,..C,12504
Ruapehu District,..C,..C,..C,30,..C,..C,..C,..C,21,..C,..C,..C,69,78,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,18,..C,..C,4458,30,18,6,42,..C,..C,..C,..C,..C,..C,6,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,24,633,..C,5520
Wanganui District,..C,9,..C,42,..C,..C,..C,..C,6,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,42,..C,234,42,14487,222,96,318,18,69,6,..C,..C,9,54,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,87,..C,..C,..C,..C,..C,..C,..C,..C,42,1587,..C,17484
Rangitikei District,..C,..C,..C,24,..C,..C,6,..C,..C,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,6,129,402,4497,408,495,9,21,..C,..C,..C,..C,24,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,24,..C,..C,..C,..C,..C,..C,..C,..C,27,672,..C,6816
Manawatu District,..C,..C,..C,42,..C,..C,..C,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,9,..C,..C,9,..C,6,21,63,354,6777,4719,60,132,15,6,6,6,42,..C,..C,..C,..C,..C,6,..C,..C,..C,..C,..C,..C,15,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,48,..C,..C,..C,..C,..C,..C,..C,..C,54,1185,..C,13665
